t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ax_mps2,ay_mps2,az_mps2
3.800000000000002,1106158.737554701,1072393.7850301417,6311821.77210293,-3382.509683956156,-3617.7333703590525,1189.2496376950282,-2.106917055828033,-1.0392803640979755,-9.011796209947525
3.900000000000002,1105820.4760517203,1072032.0064967042,6311940.652007719,-3382.7203528198925,-3617.8372729360176,1188.3484463160873,-2.1064602363208023,-1.0387711926227907,-9.012031368883994
4.000000000000002,1105482.193484137,1071670.2175755545,6312059.441792193,-3382.9309760034203,-3617.941124597577,1187.4472314212514,-2.106003428380071,-1.0382620385303236,-9.012266574413875
4.100000000000001,1105143.8898565196,1071308.4182717847,6312178.141454003,-3383.1415535055685,-3618.0449253437237,1186.5459930012046,-2.105546614620842,-1.037752901902426,-9.012501873075994
4.200000000000001,1104805.565173436,1070946.6085904858,6312296.750990793,-3383.3520853263444,-3618.1486751779576,1185.6447310466363,-2.1050897659733967,-1.0372437420301177,-9.012737288139792
4.300000000000001,1104467.2194394544,1070584.788536749,6312415.270400212,-3383.562571458763,-3618.2523740921297,1184.7434455435766,-2.104632905684419,-1.0367345530539789,-9.012972842903114
4.4,1104128.8526591442,1070222.9581156673,6312533.699679902,-3383.7730119074813,-3618.3560220885684,1183.8421364780556,-2.104176086140804,-1.0362254164647349,-9.013208467514492
4.5,1103790.4648370729,1069861.1173323314,6312652.038827508,-3383.9834066759913,-3618.4596191754226,1182.9408038500737,-2.103719249134891,-1.035716291517023,-9.013444138690861
4.6,1103452.055977809,1069499.2661918323,6312770.287840672,-3384.1937557573083,-3618.5631653468718,1182.0394476503175,-2.103262377204381,-1.0352071316447147,-9.013679972849818
4.699999999999999,1103113.6260859214,1069137.404699262,6312888.446717038,-3384.404059151432,-3618.6666606017516,1181.1380678555038,-2.102805499453105,-1.0346979775931724,-9.013915946707161
4.799999999999999,1102775.1751659787,1068775.532859712,6313006.515454243,-3384.614316857199,-3618.7701049423904,1180.236664460976,-2.1023486333433614,-1.0341888584662267,-9.014151943847569
4.899999999999999,1102436.70322255,1068413.6506782735,6313124.49404993,-3384.824528878101,-3618.873498373445,1179.3352374667343,-2.101891790516682,-1.0336797626223453,-9.014388057403298
4.999999999999998,1102098.210260203,1068051.7581600372,6313242.382501736,-3385.0346952153022,-3618.976840894915,1178.4337868494954,-2.1014349185861723,-1.0331706318538674,-9.01462428737435
5.099999999999998,1101759.696283507,1067689.8553100945,6313360.1808073,-3385.244815861818,-3619.0801324998156,1177.5323126092594,-2.1009780466556625,-1.0326615010853895,-9.014860610477658
5.1999999999999975,1101421.1612970307,1067327.9421335373,6313477.888964258,-3385.4548908246334,-3619.183373195132,1176.6308147273999,-2.1005211805459187,-1.032152405241508,-9.015097073279353
5.299999999999997,1101082.605305342,1066966.0186354555,6313595.506970245,-3385.6649200979273,-3619.286562980864,1175.7292931946035,-2.1000642736908124,-1.0316432977560945,-9.015333582647177
5.399999999999997,1100744.0283130112,1066604.084820941,6313713.034822897,-3385.8749036793715,-3619.389701854683,1174.8277480108704,-2.099607378477238,-1.0311341902706808,-9.015570208430322
5.4999999999999964,1100405.4303246061,1066242.1406950846,6313830.472519848,-3386.0848415736227,-3619.492789818918,1173.9261791529175,-2.09915048908443,-1.0306250944267994,-9.015806997194918
5.599999999999996,1100066.8113446964,1065880.1862629773,6313947.820058728,-3386.2947337771884,-3619.5958268735685,1173.0245866114315,-2.0986936113331542,-1.0301160276867485,-9.016043809242579
5.699999999999996,1099728.1713778507,1065518.2215297099,6314065.07743717,-3386.5045802958894,-3619.6988130244554,1172.122970391069,-2.098236721940346,-1.0296069609466976,-9.016280691139432
5.799999999999995,1099389.5104286373,1065156.2465003724,6314182.244652806,-3386.7143811215765,-3619.801748265758,1171.2213304732036,-2.0977797918021754,-1.02909785928205,-9.016517782583865
5.899999999999995,1099050.8285016264,1064794.2611800567,6314299.3217032645,-3386.92413625425,-3619.904632596312,1170.3196668345522,-2.097322890767835,-1.028588780900467,-9.01675494387749
5.999999999999995,1098712.1256013864,1064432.2655738532,6314416.308586173,-3387.13384569973,-3620.007466021938,1169.417979484428,-2.096865989733495,-1.028079714160416,-9.016992105171116
6.099999999999994,1098373.4017324864,1064070.2596868523,6314533.205299161,-3387.3435094521965,-3620.110248539144,1168.516268413518,-2.09640903631226,-1.0275706183165347,-9.017229452729257
6.199999999999994,1098034.656899496,1063708.2435241453,6314650.011839855,-3387.5531275069925,-3620.2129801456013,1167.6145335938822,-2.095952094532557,-1.0270615515764838,-9.017466939985784
6.299999999999994,1097695.891106985,1063346.2170908232,6314766.72820588,-3387.762699871103,-3620.315660849459,1166.7127750255208,-2.0954951876774506,-1.0265525197610295,-9.017704520374568
6.399999999999993,1097357.1043595218,1062984.1803919754,6314883.354394861,-3387.972226544528,-3620.4182906495535,1165.8109926898073,-2.095038263360046,-1.0260434704832768,-9.017942170612546
6.499999999999993,1097018.2966616761,1062622.1334326933,6314999.890404418,-3388.181707523775,-3620.520869543556,1164.9091865913983,-2.094581327401109,-1.0255344270262903,-9.018179844133588
