t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
65.0,2025-10-25T21:13:04.179628Z,-4082175.062369365,-1200530.9629014174,5549634.458662832,-5130.442784199275,-5616.884287184013,-293.6755928779535
66.0,2025-10-25T21:13:05.179629Z,-4087577.0935061113,-1205579.387485888,5549473.377486161,-5125.676224747887,-5615.5836655341,-300.36424997201897
67.0,2025-10-25T21:13:06.179630Z,-4092979.8825954893,-1210627.0305810065,5549312.296309489,-5120.909502919453,-5614.283768922947,-307.0529070660845
68.0,2025-10-25T21:13:07.179631Z,-4098383.4295522464,-1215673.8921030783,5549151.215132817,-5116.142618794369,-5612.984597367321,-313.74156416015
69.0,2025-10-25T21:13:08.179632Z,-4103723.396209579,-1220700.8541947233,5548903.098653767,-5111.397711087947,-5611.628495806014,-320.28671114725506
70.0,2025-10-25T21:13:09.179633Z,-4108897.7906726375,-1225677.6337724917,5548429.9829868255,-5106.709853628669,-5610.124064989683,-326.46086318589875
71.0,2025-10-25T21:13:10.179634Z,-4114072.9327552537,-1230653.6651675939,5547956.867319885,-5102.021803966652,-5608.620347707176,-332.63501522454237
72.0,2025-10-25T21:13:11.179635Z,-4119248.8223758247,-1235628.9482974617,5547483.751652942,-5097.333562181032,-5607.117343978522,-338.809167263186
73.0,2025-10-25T21:13:12.179636Z,-4124425.4594527367,-1240603.4830795338,5547010.635986001,-5092.645128350944,-5605.615053823744,-344.9833193018296
74.0,2025-10-25T21:13:13.179637Z,-4129602.8439043704,-1245577.2694312579,5546537.5203190595,-5087.956502555532,-5604.113477262857,-351.15747134047325
75.0,2025-10-25T21:13:14.179637Z,-4134780.975649099,-1250550.307270089,5546064.404652119,-5083.267684873937,-5602.612614315863,-357.3316233791169
76.0,2025-10-25T21:13:15.179638Z,-4139959.854605285,-1255522.5965134902,5545591.288985177,-5078.578675385301,-5601.112465002764,-363.5057754177605
77.0,2025-10-25T21:13:16.179640Z,-4145139.480691285,-1260494.1370789327,5545118.173318235,-5073.889474168772,-5599.613029343552,-369.67992745640413
78.0,2025-10-25T21:13:17.179641Z,-4150319.8538254458,-1265464.9288838955,5544645.057651293,-5069.200081303495,-5598.114307358207,-375.85407949504787
79.0,2025-10-25T21:13:18.179641Z,-4155500.973926108,-1270434.9718458648,5544171.941984352,-5064.510496868623,-5596.616299066704,-382.0282315336915
80.0,2025-10-25T21:13:19.179642Z,-4160682.8409116007,-1275404.2658823363,5543698.826317411,-5059.820720943303,-5595.1190044890145,-388.2023835723351
81.0,2025-10-25T21:13:20.179643Z,-4165865.4547002516,-1280372.810910812,5543225.710650469,-5055.130753606692,-5593.622423645095,-394.37653561097875
82.0,2025-10-25T21:13:21.179644Z,-4171048.8152103717,-1285340.6068488033,5542752.594983527,-5050.440594937943,-5592.126556554898,-400.5506876496224
83.0,2025-10-25T21:13:22.179645Z,-4176232.9223602726,-1290307.6536138284,5542279.479316586,-5045.7502450162165,-5590.63140323837,-406.724839688266
84.0,2025-10-25T21:13:23.179646Z,-4181417.7760682506,-1295273.9511234136,5541806.363649645,-5041.059703920666,-5589.136963715443,-412.8989917269096
85.0,2025-10-25T21:13:24.179647Z,-4186603.3762525986,-1300239.4992950936,5541333.247982703,-5036.368971730456,-5587.64323800605,-419.07314376555325
86.0,2025-10-25T21:13:25.179648Z,-4191789.722831599,-1305204.298046411,5540860.132315761,-5031.678048524746,-5586.150226130109,-425.24729580419694
87.0,2025-10-25T21:13:26.179649Z,-4196976.815723525,-1310168.3472949155,5540387.01664882,-5026.986934382706,-5584.6579281075365,-431.42144784284056
88.0,2025-10-25T21:13:27.179650Z,-4202164.654846647,-1315131.6469581663,5539913.900981878,-5022.295629383499,-5583.166343958235,-437.59559988148425
89.0,2025-10-25T21:13:28.179651Z,-4207353.240119224,-1320094.1969537286,5539440.785314937,-5017.6041336062935,-5581.675473702105,-443.7697519201279
90.0,2025-10-25T21:13:29.179651Z,-4212542.571459505,-1325055.9971991775,5538967.669647995,-5012.912447130259,-5580.185317359033,-449.9439039587715
91.0,2025-10-25T21:13:30.179652Z,-4217732.648785735,-1330017.0476120946,5538494.553981055,-5008.22057003457,-5578.695874948905,-456.1180559974151
92.0,2025-10-25T21:13:31.179653Z,-4222923.4720161455,-1334977.3481100695,5538021.438314112,-5003.528502398398,-5577.207146491593,-462.29220803605875
93.0,2025-10-25T21:13:32.179654Z,-4228115.041068968,-1339936.8986107006,5537548.32264717,-4998.836244300922,-5575.719132006966,-468.4663600747024
94.0,2025-10-25T21:13:33.179655Z,-4233307.355862416,-1344895.6990315942,5537075.206980229,-4994.143795821316,-5574.231831514881,-474.64051211334606
95.0,2025-10-25T21:13:34.179656Z,-4238500.416314704,-1349853.7492903632,5536602.091313288,-4989.451157038763,-5572.745245035191,-480.8146641519897
96.0,2025-10-25T21:13:35.179657Z,-4243694.222344035,-1354811.04930463,5536128.975646347,-4984.758328032444,-5571.259372587737,-486.9888161906333
97.0,2025-10-25T21:13:36.179658Z,-4248888.773868602,-1359767.5989920236,5535655.859979404,-4980.065308881541,-5569.774214192357,-493.16296822927694
98.0,2025-10-25T21:13:37.179659Z,-4254084.070806592,-1364723.3982701825,5535182.744312463,-4975.372099665241,-5568.2897698688785,-499.3371202679206
99.0,2025-10-25T21:13:38.179660Z,-4259280.113076183,-1369678.447056752,5534709.628645522,-4970.6787004627295,-5566.806039637123,-505.51127230656425
