t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
79.0,2025-10-20T15:48:50.476270Z,-253739.41176232768,16552906.194206698,24538118.331441533,-4876.488510220095,-19.512878752460495,-32.83654486083964
80.0,2025-10-20T15:48:51.476271Z,-256201.86749024835,16552930.525280012,24538095.300329257,-4876.487933491632,-19.67926623862818,-33.21368337160188
81.0,2025-10-20T15:48:52.476272Z,-258664.32099941437,16552955.30350355,24538072.26921698,-4876.487406960223,-19.84565390989126,-33.59082188236413
82.0,2025-10-20T15:48:53.476273Z,-261126.7722377064,16552980.528877113,24538049.238104705,-4876.486930625889,-20.01204175981364,-33.967960393126376
83.0,2025-10-20T15:48:54.476274Z,-263589.22115300526,16553006.201400505,24538026.206992425,-4876.486504488656,-20.17842978195924,-34.34509890388862
84.0,2025-10-20T15:48:55.476275Z,-266051.66769319156,16553032.321073519,24538003.17588015,-4876.486128548543,-20.344817969891956,-34.72223741465086
85.0,2025-10-20T15:48:56.476276Z,-268514.11180614616,16553058.887895938,24537980.144767873,-4876.485802805574,-20.51120631717569,-35.099375925413106
86.0,2025-10-20T15:48:57.476277Z,-270975.3187659585,16553045.201411743,24537896.785414223,-4876.473538109857,-20.677447987600402,-35.476346360418745
87.0,2025-10-20T15:48:58.476278Z,-273436.5291301559,16553031.961896664,24537813.426060572,-4876.461323589974,-20.843691553030126,-35.853316795424384
88.0,2025-10-20T15:48:59.476279Z,-275897.7428466388,16553019.169351133,24537730.066706922,-4876.449159246137,-21.00993700703107,-36.230287230430015
89.0,2025-10-20T15:49:00.476280Z,-278358.95986330765,16553006.823775558,24537646.70735327,-4876.437045078557,-21.17618434316946,-36.60725766543565
90.0,2025-10-20T15:49:01.476281Z,-280820.1801280627,16552994.925170355,24537563.34799962,-4876.424981087441,-21.34243355501147,-36.984228100441285
91.0,2025-10-20T15:49:02.476282Z,-283281.4035888044,16552983.473535929,24537479.988645975,-4876.412967273,-21.508684636123274,-37.361198535446924
92.0,2025-10-20T15:49:03.476283Z,-285742.6301934328,16552972.468872678,24537396.62929232,-4876.40100363544,-21.674937580070974,-37.738168970452556
93.0,2025-10-20T15:49:04.476284Z,-288203.85988984845,16552961.911181007,24537313.269938674,-4876.389090174972,-21.841192380420758,-38.115139405458194
94.0,2025-10-20T15:49:05.476285Z,-290665.0926259512,16552951.800461302,24537229.91058502,-4876.377226891802,-22.00744903073867,-38.492109840463826
95.0,2025-10-20T15:49:06.476286Z,-293126.3283496413,16552942.136713944,24537146.551231373,-4876.365413786133,-22.173707524590814,-38.869080275469464
96.0,2025-10-20T15:49:07.476287Z,-295587.56700881897,16552932.91993932,24537063.191877723,-4876.353650858176,-22.339967855543243,-39.2460507104751
97.0,2025-10-20T15:49:08.476288Z,-298048.808551384,16552924.150137803,24536979.832524072,-4876.34193810813,-22.506230017162,-39.623021145480735
98.0,2025-10-20T15:49:09.476289Z,-300510.0529252367,16552915.827309763,24536896.473170422,-4876.330275536203,-22.672494003013114,-39.99999158048637
99.0,2025-10-20T15:49:10.476290Z,-302971.30007827695,16552907.951455567,24536813.113816775,-4876.318663142598,-22.838759806662576,-40.376962015492005
100.0,2025-10-20T15:49:11.476291Z,-305432.54995840456,16552900.522575572,24536729.75446312,-4876.307100927516,-23.005027421676353,-40.753932450497636
101.0,2025-10-20T15:49:12.476292Z,-307893.80251351953,16552893.540670134,24536646.395109475,-4876.295588891163,-23.171296841620425,-41.13090288550328
102.0,2025-10-20T15:49:13.476293Z,-310355.05769152177,16552887.005739601,24536563.03575582,-4876.284127033738,-23.337568060060732,-41.507873320508914
103.0,2025-10-20T15:49:14.476294Z,-312816.3154403111,16552880.917784322,24536479.676402174,-4876.272715355442,-23.503841070563187,-41.884843755514545
104.0,2025-10-20T15:49:15.476295Z,-315277.57570778724,16552875.276804626,24536396.317048524,-4876.2613538564765,-23.670115866693692,-42.261814190520184
105.0,2025-10-20T15:49:16.476296Z,-317738.83844185004,16552870.082800856,24536312.957694873,-4876.250042537038,-23.836392442018123,-42.638784625525815
106.0,2025-10-20T15:49:17.476297Z,-320200.10359039926,16552865.33577333,24536229.598341223,-4876.238781397328,-24.00267079010236,-43.015755060531454
107.0,2025-10-20T15:49:18.476298Z,-322661.37110133446,16552861.035722384,24536146.238987572,-4876.227570437544,-24.16895090451223,-43.39272549553709
108.0,2025-10-20T15:49:19.476299Z,-325122.64092255535,16552857.182648327,24536062.879633922,-4876.2164096578845,-24.335232778813555,-43.769695930542724
109.0,2025-10-20T15:49:20.476300Z,-327583.9130019616,16552853.776551478,24535979.520280275,-4876.205299058545,-24.50151640657214,-44.146666365548356
110.0,2025-10-20T15:49:21.476301Z,-330045.1872874527,16552850.817432128,24535896.16092662,-4876.194238639721,-24.66780178135377,-44.523636800553994
111.0,2025-10-20T15:49:22.476302Z,-332506.4637269282,16552848.305290604,24535812.801572975,-4876.183228401612,-24.834088896724214,-44.900607235559626
112.0,2025-10-20T15:49:23.476302Z,-334967.74226828787,16552846.240127187,24535729.442219324,-4876.172268344407,-25.000377746249203,-45.277577670565265
113.0,2025-10-20T15:49:24.476303Z,-337429.02285943093,16552844.621942172,24535646.082865674,-4876.161358468305,-25.166668323494477,-45.6545481055709
114.0,2025-10-20T15:49:25.476304Z,-339890.30544825684,16552843.450735843,24535562.723512024,-4876.150498773496,-25.33296062202575,-46.031518540576535
115.0,2025-10-20T15:49:26.476305Z,-342351.58998266526,16552842.726508487,24535479.364158373,-4876.139689260174,-25.49925463540869,-46.40848897558217
116.0,2025-10-20T15:49:27.476306Z,-344812.87641055544,16552842.449260376,24535396.004804723,-4876.1289299285345,-25.665550357208986,-46.785459410587805
117.0,2025-10-20T15:49:28.476307Z,-347274.16467982664,16552842.618991781,24535312.645451076,-4876.118220778763,-25.83184778099227,-47.162429845593444
118.0,2025-10-20T15:49:29.476308Z,-349735.4547383785,16552843.235702975,24535229.286097422,-4876.107561811055,-25.9981469003242,-47.53940028059908
119.0,2025-10-20T15:49:30.476309Z,-352196.74653410993,16552844.299394205,24535145.926743776,-4876.0969530256,-26.164447708770332,-47.916370715604714
120.0,2025-10-20T15:49:31.476310Z,-354658.04001492064,16552845.810065733,24535062.56739012,-4876.086394422584,-26.330750199896315,-48.293341150610345
121.0,2025-10-20T15:49:32.476311Z,-357119.3351287096,16552847.767717808,24534979.208036475,-4876.075886002199,-26.497054367267733,-48.670311585615984
122.0,2025-10-20T15:49:33.476312Z,-359580.6318233761,16552850.172350682,24534895.848682825,-4876.065427764634,-26.663360204450086,-49.04728202062162
123.0,2025-10-20T15:49:34.476313Z,-362041.9300468194,16552853.023964588,24534812.489329174,-4876.055019710073,-26.82966770500896,-49.424252455627254
124.0,2025-10-20T15:49:35.476313Z,-364503.2297469387,16552856.32255976,24534729.129975524,-4876.044661838705,-26.995976862509856,-49.80122289063289
125.0,2025-10-20T15:49:36.476314Z,-366964.5308716329,16552860.06813643,24534645.770621873,-4876.034354150715,-27.16228767051828,-50.178193325638524
126.0,2025-10-20T15:49:37.476315Z,-369425.83336880145,16552864.260694817,24534562.411268223,-4876.02409664629,-27.32860012259971,-50.555163760644156
127.0,2025-10-20T15:49:38.476316Z,-371887.1371863433,16552868.900235143,24534479.051914576,-4876.013889325614,-27.49491421231962,-50.9321341956498
128.0,2025-10-20T15:49:39.476317Z,-374348.4422721575,16552873.986757623,24534395.692560922,-4876.003732188871,-27.661229933243433,-51.30910463065543
129.0,2025-10-20T15:49:40.476318Z,-376809.7485741432,16552879.520262461,24534312.333207272,-4875.993625236244,-27.827547278936624,-51.686075065661065
130.0,2025-10-20T15:49:41.476319Z,-379271.05604019924,16552885.500749864,24534228.973853625,-4875.9835684679165,-27.99386624296455,-52.0630455006667
131.0,2025-10-20T15:49:42.476320Z,-381732.3646182249,16552891.92822003,24534145.61449997,-4875.973561884071,-28.160186818892637,-52.440015935672335
132.0,2025-10-20T15:49:43.476321Z,-384193.6742561189,16552898.802673146,24534062.255146325,-4875.963605484887,-28.326509000286254,-52.81698637067798
133.0,2025-10-20T15:49:44.476322Z,-386654.9849017804,16552906.124109402,24533978.89579267,-4875.953699270545,-28.49283278071076,-53.19395680568361
134.0,2025-10-20T15:49:45.476323Z,-389116.2965031081,16552913.892528981,24533895.536439024,-4875.943843241229,-28.659158153731482,-53.570927240689244
135.0,2025-10-20T15:49:46.476324Z,-391577.60900800105,16552922.107932063,24533812.177085374,-4875.934037397115,-28.82548511291374,-53.94789767569488
136.0,2025-10-20T15:49:47.476325Z,-394038.9223643583,16552930.770318821,24533728.817731723,-4875.924281738382,-28.991813651822863,-54.324868110700514
137.0,2025-10-20T15:49:48.476326Z,-396500.2365200785,16552939.879689408,24533645.458378073,-4875.91457626521,-29.158143764024114,-54.70183854570615
138.0,2025-10-20T15:49:49.476327Z,-398961.55142306053,16552949.436043996,24533562.099024422,-4875.904920977773,-29.324475443082758,-55.07880898071179
139.0,2025-10-20T15:49:50.476328Z,-401422.8670212034,16552959.439382747,24533478.739670772,-4875.8953158762515,-29.490808682564072,-55.45577941571742
140.0,2025-10-20T15:49:51.476328Z,-403884.1832624057,16552969.889705798,24533395.380317125,-4875.8857609608185,-29.657143476033248,-55.832749850723054
141.0,2025-10-20T15:49:52.476329Z,-406345.50009456644,16552980.787013302,24533312.02096347,-4875.876256231651,-29.82347981705554,-56.20972028572869
142.0,2025-10-20T15:49:53.476330Z,-408806.81746558426,16552992.131305393,24533228.661609825,-4875.866801688922,-29.98981769919613,-56.58669072073433
143.0,2025-10-20T15:49:54.476331Z,-411268.1353233578,16553003.922582218,24533145.302256174,-4875.857397332808,-30.156157116020204,-56.96366115573996
144.0,2025-10-20T15:49:55.476332Z,-413729.45361578633,16553016.16084389,24533061.942902524,-4875.848043163481,-30.32249806109294,-57.3406315907456
145.0,2025-10-20T15:49:56.476333Z,-416190.77229076787,16553028.846090553,24532978.583548874,-4875.838739181114,-30.488840527979438,-57.71760202575123
146.0,2025-10-20T15:49:57.476334Z,-418652.09129620175,16553041.978322316,24532895.224195223,-4875.829485385879,-30.655184510244887,-58.094572460756865
147.0,2025-10-20T15:49:58.476335Z,-421113.41057998623,16553055.557539294,24532811.864841573,-4875.820281777946,-30.82153000145435,-58.47154289576251
148.0,2025-10-20T15:49:59.476336Z,-423574.7300900203,16553069.583741592,24532728.505487926,-4875.811128357486,-30.98787699517297,-58.84851333076814
149.0,2025-10-20T15:50:00.476337Z,-426036.0497742025,16553084.056929322,24532645.146134272,-4875.802025124672,-31.15422548496579,-59.225483765773774
150.0,2025-10-20T15:50:01.476338Z,-428497.3695804314,16553098.977102581,24532561.786780626,-4875.79297207967,-31.320575464397884,-59.60245420077941
151.0,2025-10-20T15:50:02.476339Z,-430958.68945660593,16553114.344261456,24532478.42742697,-4875.783969222649,-31.48692692703433,-59.979424635785044
152.0,2025-10-20T15:50:03.476340Z,-433420.00935062434,16553130.158406038,24532395.068073325,-4875.775016553779,-31.65327986644008,-60.35639507079068
153.0,2025-10-20T15:50:04.476340Z,-435881.3292103854,16553146.419536414,24532311.708719674,-4875.766114073225,-31.819634276180217,-60.73336550579632
