sat_id,dst_ground_id,t_gen_s,t_arrive_s,data_age_s,n_hops,path
LEO_P7_S2,gs2,1735689624.0,1735689624.012071,0.012070894241333008,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689624.0,1735689624.0295756,0.029575586318969727,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689625.0,1735689625.0131023,0.013102293014526367,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689625.0,1735689625.022796,0.022795915603637695,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689625.0,1735689625.001898,0.001898050308227539,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689625.0,1735689625.0175948,0.01759481430053711,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689625.0,1735689625.0316813,0.03168129920959473,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689625.0,1735689625.012093,0.012093067169189453,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689625.0,1735689625.029585,0.029584884643554688,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689626.0,1735689626.013114,0.013113975524902344,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689626.0,1735689626.022804,0.02280402183532715,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689626.0,1735689626.001904,0.0019040107727050781,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689626.0,1735689626.0176075,0.017607450485229492,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689626.0,1735689626.0316916,0.031691551208496094,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689626.0,1735689626.0121157,0.012115716934204102,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689626.0,1735689626.0295944,0.02959442138671875,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689627.0,1735689627.013126,0.013125896453857422,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689627.0,1735689627.0228121,0.0228121280670166,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689627.0,1735689627.0019104,0.0019104480743408203,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689627.0,1735689627.01762,0.017620086669921875,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689627.0,1735689627.0317018,0.03170180320739746,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689627.0,1735689627.0121386,0.012138605117797852,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689627.0,1735689627.0296042,0.029604196548461914,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689628.0,1735689628.0131376,0.013137578964233398,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689628.0,1735689628.0228205,0.022820472717285156,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689628.0,1735689628.001917,0.0019168853759765625,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689628.0,1735689628.017633,0.01763296127319336,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689628.0,1735689628.031712,0.03171205520629883,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689628.0,1735689628.0121617,0.012161731719970703,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689628.0,1735689628.0296144,0.02961444854736328,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689629.0,1735689629.0131495,0.013149499893188477,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689629.0,1735689629.0228286,0.02282857894897461,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689629.0,1735689629.001924,0.0019240379333496094,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689629.0,1735689629.0176456,0.017645597457885742,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689629.0,1735689629.0317223,0.031722307205200195,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689629.0,1735689629.0121853,0.012185335159301758,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689629.0,1735689629.029625,0.02962493896484375,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689630.0,1735689630.0131612,0.013161182403564453,1,LEO_P5_S3->gs7
