epoch_utc,x_est_km,y_est_km,z_est_km,geom_ok,beta_deg,gdop,n_sats,sats,satA,satB,tgt,run_id,P_xx,P_xy,P_xz,P_yx,P_yy,P_yz,P_zx,P_zy,P_zz
2025-01-01 00:05:24+00:00,3276.7749069454076,1152.3763232871377,5432.2562857457415,1,19.122101829505265,0.11960728626620158,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.0060966966267156746,0.0012595733859895942,-0.0004487137645123719,0.0012595733859895944,0.005348508518070075,-0.00022684603541248968,-0.00044871376451237197,-0.00022684603541248965,0.002860697783179345
2025-01-01 00:05:25+00:00,3274.597824097663,1149.8219104682871,5433.827336064496,1,19.31524090030011,0.1198709104881896,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.0061152880355859265,0.001256174224400609,-0.0004542837829776672,0.001256174224400609,0.005377316734968512,-0.00022979908746361254,-0.00045428378297766717,-0.0002297990874636125,0.0028764304107131247
2025-01-01 00:05:26+00:00,3272.6122704563163,1147.5128645659697,5435.243885470711,1,19.502142580361244,0.12013355632550754,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006134003066067603,0.0012525190023461124,-0.00045962431236736706,0.0012525190023461126,0.005405914244220069,-0.0002324661812043735,-0.00045962431236736706,-0.00023246618120437347,0.002892154045126222
2025-01-01 00:05:27+00:00,3270.393353919761,1145.0725385283024,5436.7109421105215,1,19.6922959732971,0.1203974804972415,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006153075716646829,0.0012490278541488233,-0.00046507032511067714,0.0012490278541488235,0.005434562118945239,-0.00023527759873189752,-0.00046507032511067714,-0.0002352775987318975,0.0029079154744915793
2025-01-01 00:05:28+00:00,3268.313570997505,1142.6751710384897,5438.205438682794,1,19.881049641063548,0.12066083825418379,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006172230948624688,0.0012453122194232454,-0.0004705297938186821,0.0012453122194232456,0.005463087908699126,-0.0002380161932880066,-0.00047052979381868203,-0.0002380161932880066,0.0029237190308784877
2025-01-01 00:05:29+00:00,3266.1462481468147,1140.199757333778,5439.721468638025,1,20.07316860924864,0.12092458916568198,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006191443953142583,0.0012417127161698826,-0.0004759718852015069,0.0012417127161698821,0.00549173711204552,-0.00024085176645277637,-0.000475971885201507,-0.00024085176645277637,0.0029395751997008685
2025-01-01 00:05:30+00:00,3264.158295425258,1137.9155459451617,5441.184695687007,1,20.254938172033448,0.12118706087462525,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.0062105215330294835,0.0012378949372939985,-0.00048153256736102417,0.0012378949372939985,0.005520324879320897,-0.0002436860652788502,-0.00048153256736102417,-0.0002436860652788502,0.0029554573110797456
2025-01-01 00:05:31+00:00,3261.94116722293,1135.2838022671078,5442.664233680094,1,20.4444209273202,0.12144824251120886,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006229463764569123,0.0012340724592668653,-0.0004868543268787495,0.0012340724592668653,0.005548972944083544,-0.00024635375345354987,-0.0004868543268787495,-0.0002463537534535498,0.0029712389004087326
2025-01-01 00:05:32+00:00,3259.9943823663993,1133.0110464587813,5444.094299343013,1,20.625711054816584,0.12170847455257362,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006248533825323624,0.001229901652362293,-0.000492152563813532,0.001229901652362293,0.005577369534113356,-0.0002488888707056024,-0.0004921525638135321,-0.00024888887070560246,0.0029870494184774804
2025-01-01 00:05:33+00:00,3257.7291118422713,1130.624332924983,5445.547216628844,1,20.812988561385225,0.12196990238723965,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006267983231507965,0.0012259424787215733,-0.000497523482884822,0.0012259424787215733,0.00560576216834096,-0.00025163168133628263,-0.000497523482884822,-0.00025163168133628263,0.0030029116885038416
2025-01-01 00:05:34+00:00,3255.5804376657698,1128.1861787706443,5447.045156437898,1,20.999336805514975,0.12222817349061833,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006287323081268719,0.001222026010122277,-0.000503196931678833,0.0012220260101222773,0.005633719810489656,-0.00025441458536343286,-0.0005031969316788328,-0.00025441458536343286,0.0030186835030943165
2025-01-01 00:05:35+00:00,3253.5232241667013,1125.7436999049137,5448.338522706808,1,21.18053177853631,0.12248486761649453,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006306687827485628,0.00121822353444148,-0.0005086296690488659,0.0012182235344414803,0.005661535842346529,-0.0002570793870143681,-0.0005086296690488659,-0.00025707938701436815,0.0030343191251980353
2025-01-01 00:05:36+00:00,3251.441694529274,1123.3660062164265,5449.8070272320865,1,21.364150644646763,0.12274204730438258,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.0063260577316127725,0.0012145073301848646,-0.0005142352855188651,0.0012145073301848646,0.0056895034534748794,-0.00025991040071542403,-0.0005142352855188651,-0.00025991040071542403,0.0030500489913836393
2025-01-01 00:05:37+00:00,3249.1545040183087,1120.7840786985203,5451.298821817181,1,21.555248690720397,0.12299986901582474,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006345662073197662,0.0012107889643091575,-0.0005200746177013786,0.0012107889643091575,0.0057174468484116996,-0.00026285446211839127,-0.0005200746177013786,-0.00026285446211839127,0.003065858856300682
2025-01-01 00:05:38+00:00,3246.9501695596273,1118.5128339881405,5452.586059085743,1,21.737390534047645,0.12325677820133031,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006365898826352911,0.0012067022072725772,-0.0005255403403092961,0.0012067022072725774,0.0057447400188754385,-0.00026548909744085117,-0.0005255403403092961,-0.0002654890974408512,0.003081594527343586
2025-01-01 00:05:39+00:00,3244.9007961682905,1116.0993516319477,5453.94586901796,1,21.917608795165062,0.12351417726141527,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006385689264109581,0.0012028760311656413,-0.0005311030370555028,0.001202876031165641,0.005772647228398247,-0.00026823731121568294,-0.0005311030370555028,-0.0002682373112156829,0.003097415492056485
2025-01-01 00:05:40+00:00,3242.6184420168815,1113.612437358136,5455.3263013652895,1,22.103261198230044,0.12377228619511368,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006405875211328461,0.0011990967106421623,-0.000536776098662658,0.0011990967106421625,0.005800414684698137,-0.00027106949419553045,-0.000536776098662658,-0.0002710694941955304,0.00311328893393853
2025-01-01 00:05:41+00:00,3240.4622316048867,1111.2207388839392,5456.725331006944,1,22.28670001041924,0.12402950460389545,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006426435592653431,0.0011949189518761436,-0.0005423785096204884,0.0011949189518761436,0.0058277273994685975,-0.00027359781939843364,-0.0005423785096204884,-0.0002735978193984336,0.0031291550201656936
2025-01-01 00:05:42+00:00,3238.226586470193,1108.8297404407965,5458.125289847699,1,22.471842933783627,0.12428741027452038,5,"LEO_P5_S2,LEO_P5_S3,LEO_P6_S2,LEO_P6_S3,LEO_P7_S2",,,HGV_330,20251025T211158Z,0.006446873440896494,0.0011910106289393146,-0.0005479565360170995,0.0011910106289393146,0.005855410282198145,-0.0002763275237813806,-0.0005479565360170995,-0.0002763275237813806,0.0031450766296523135
