epoch_utc,meas_gen_epoch_utc,tri_ready_epoch_utc,t_publish_epoch_utc,queue_ms,age_transport_ms,tri_proc_ms,filter_proc_ms,photon_ms,photon_policy,measurement_age_ms,n_sats_req,n_sats_delivered,sats_requested,sats_delivered,run_id,target
2025-01-01T00:00:20.000000Z,2025-01-01T00:00:20.000000Z,2025-01-01T00:00:20.161996Z,2025-01-01T00:00:20.196996Z,84.25188064575195,161.99612617492676,15.0,20.0,99.6011672090977,max,296.59729338402445,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:21.000000Z,2025-01-01T00:00:21.000000Z,2025-01-01T00:00:21.161997Z,2025-01-01T00:00:21.196997Z,84.25283432006836,161.99707984924316,15.0,20.0,99.6157627240981,max,296.61284257334125,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:22.000000Z,2025-01-01T00:00:22.000000Z,2025-01-01T00:00:22.161998Z,2025-01-01T00:00:22.196998Z,84.25307273864746,161.99803352355957,15.0,20.0,99.63029597905528,max,296.62832950261486,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:23.000000Z,2025-01-01T00:00:23.000000Z,2025-01-01T00:00:23.161998Z,2025-01-01T00:00:23.196999Z,84.25402641296387,161.99898719787598,15.0,20.0,99.64482613832833,max,296.6438133362043,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:24.000000Z,2025-01-01T00:00:24.000000Z,2025-01-01T00:00:24.162000Z,2025-01-01T00:00:24.197000Z,84.25593376159668,162.0008945465088,15.0,20.0,99.6593531793685,max,296.6602477258773,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:25.000000Z,2025-01-01T00:00:25.000000Z,2025-01-01T00:00:25.162001Z,2025-01-01T00:00:25.197001Z,84.25688743591309,162.0018482208252,15.0,20.0,99.67387707964102,max,296.6757253004662,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:26.000000Z,2025-01-01T00:00:26.000000Z,2025-01-01T00:00:26.162003Z,2025-01-01T00:00:26.197003Z,84.25712585449219,162.0030403137207,15.0,20.0,99.68839781662518,max,296.6914381303459,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:27.000000Z,2025-01-01T00:00:27.000000Z,2025-01-01T00:00:27.162003Z,2025-01-01T00:00:27.197004Z,84.2580795288086,162.0039939880371,15.0,20.0,99.70291536781377,max,296.7069093558509,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:28.000000Z,2025-01-01T00:00:28.000000Z,2025-01-01T00:00:28.162005Z,2025-01-01T00:00:28.197005Z,84.2599868774414,162.00590133666992,15.0,20.0,99.71742971071326,max,296.72333104738317,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
2025-01-01T00:00:29.000000Z,2025-01-01T00:00:29.000000Z,2025-01-01T00:00:29.162007Z,2025-01-01T00:00:29.197007Z,84.26022529602051,162.00709342956543,15.0,20.0,99.73194082284353,max,296.73903425240894,11,11,"MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5","MEO_P1_S1,MEO_P1_S2,MEO_P1_S3,MEO_P1_S4,MEO_P2_S2,MEO_P2_S3,MEO_P2_S4,MEO_P3_S2,MEO_P3_S3,MEO_P3_S4,MEO_P3_S5",20251020T154731Z,HGV_330
