epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ax_mps2,ay_mps2,az_mps2
2025-01-01T00:00:28.000000Z,3853366.924052541,1929022.3089844764,4835582.0638191635,-1868.3782732565887,-2854.3633665890666,2357.761796574574,-5.731548100011423,-2.4372033952968195,-6.670086030382663
2025-01-01T00:00:29.000000Z,3851495.6800062745,1926166.727016576,4837936.490574368,-1874.108967997832,-2856.7989147691987,2351.0897602923214,-5.729845538851805,-2.433894502290059,-6.6739931248594075
2025-01-01T00:00:30.000000Z,3849618.7061165455,1923308.711154938,4840284.243339748,-1879.8379643342923,-2859.2311555936467,2344.413810324855,-5.728151280200109,-2.430588667630218,-6.677913416177034
2025-01-01T00:00:31.000000Z,3847736.004077606,1920448.2647053888,4842625.318195018,-1885.5652705582324,-2861.660092104459,2337.7339334599674,-5.726465302170254,-2.427285857964307,-6.68184693204239
2025-01-01T00:00:32.000000Z,3845847.575575429,1917585.390970729,4844959.711206668,-1891.2908949386328,-2864.0857273095753,2331.0501164607704,-5.724787584040314,-2.4239860402885824,-6.685793700860813
2025-01-01T00:00:33.000000Z,3843953.4222877286,1914720.0932507697,4847287.4184279395,-1897.014845726313,-2866.5080641850363,2324.3623460582457,-5.723118105554022,-2.4206891817157157,-6.6897537529002875
2025-01-01T00:00:34.000000Z,3842053.545883976,1911852.374842359,4849608.435898785,-1902.737131149741,-2868.9271056730067,2317.67060895497,-5.721456844359636,-2.4173952483106405,-6.693727114703506
2025-01-01T00:00:35.000000Z,3840147.948025429,1908982.2390394232,4851922.7596458495,-1908.4577594150323,-2871.3428546816576,2310.9748918288387,-5.719803778338246,-2.4141042064293288,-6.697713813511655
2025-01-01T00:00:36.000000Z,3838236.6303651463,1906109.6891329957,4854230.385682442,-1914.1767387064176,-2873.7553140858654,2304.2751813279465,-5.718158884672448,-2.410816022078506,-6.70171387703158
2025-01-01T00:00:37.000000Z,3836319.594548016,1903234.7284112517,4856531.310008505,-1919.8940771843772,-2876.164486725814,2297.5714640747756,-5.716522139962763,-2.4075306605082005,-6.705727331340313
2025-01-01T00:00:38.000000Z,3834396.8422107776,1900357.360159544,4858825.528610592,-1925.609782986343,-2878.570375406882,2290.863726665266,-5.714893521042541,-2.404248086735606,-6.709754202980548
2025-01-01T00:00:39.000000Z,3832468.374982043,1897477.587660438,4861113.037461836,-1931.3238642264623,-2880.972982899286,2284.1519556688145,-5.713273002882488,-2.4009682656032965,-6.713794517563656
2025-01-01T00:00:40.000000Z,3830534.1944823246,1894595.4141937457,4863393.832521929,-1937.036328992108,-2883.3723119380884,2277.4361376301385,-5.711660559521988,-2.39769116131356,-6.717848300002515
2025-01-01T00:00:41.000000Z,3828594.3023240594,1891710.8430365615,4865667.909737096,-1942.7471853455063,-2885.768365221913,2270.7162590688094,-5.710056166048162,-2.3944167374284007,-6.721915574045852
2025-01-01T00:00:42.000000Z,3826648.7001116336,1888823.8774633016,4867935.265040067,-1948.456441324204,-2888.161145412945,2263.992306482047,-5.708459795219824,-2.3911449572769925,-6.725996362045407
2025-01-01T00:00:43.000000Z,3824697.389441411,1885934.520745736,4870195.89435006,-1954.164104935946,-2890.550655136467,2257.264266344718,-5.706871417933144,-2.387875782966148,-6.730090687051415
2025-01-01T00:00:44.000000Z,3822740.3719017617,1883042.7761530287,4872449.793572756,-1959.8701841600705,-2892.9368969788775,2250.532125107944,-5.705291005782783,-2.384609176311642,-6.734198570949957
2025-01-01T00:00:45.000000Z,3820777.649073091,1880148.646951778,4874696.958600276,-1965.5746869475115,-2895.3198734890902,2243.7958692028187,-5.703718528384343,-2.3813450986053795,-6.738320032367483
2025-01-01T00:00:46.000000Z,3818809.2225278663,1877252.1364060503,4876937.385311162,-1971.2776212168392,-2897.699587176088,2237.055485043209,-5.702153952792287,-2.3780835093348287,-6.742455090163276
2025-01-01T00:00:47.000000Z,3816835.093830657,1874353.247777426,4879171.069570363,-1976.978994853096,-2900.07604050776,2230.310959022492,-5.700597245828249,-2.3748243680456653,-6.7466037617996335
2025-01-01T00:00:48.000000Z,3814855.264538161,1871451.984325035,4881398.007229207,-1982.6788157084957,-2902.4492359121796,2223.56227751961,-5.699048372451216,-2.371567632886581,-6.750766061246395
2025-01-01T00:00:49.000000Z,3812869.73619924,1868548.3493056016,4883618.194125402,-1988.3770915979983,-2904.819175773533,2216.8094268999994,-5.697507294709794,-2.3683132598525845,-6.754942003171891
2025-01-01T00:00:50.000000Z,3810878.510354965,1865642.345973488,4885831.626083007,-1994.0738302979153,-2907.1858624318847,2210.052393513266,-5.69597397337202,-2.3650612049968913,-6.759131599450484
2025-01-01T00:00:51.000000Z,3808881.588538645,1862733.9775807376,4888038.298912428,-1999.7690395447423,-2909.549298183527,2203.2911637010984,-5.694448366528377,-2.3618114226846956,-6.763334856368601
2025-01-01T00:00:52.000000Z,3806878.972275875,1859823.247377121,4890238.208410409,-2005.462727030972,-2911.909485277254,2196.525723800529,-5.692930429126136,-2.3585638648364693,-6.7675517809111625
2025-01-01T00:00:53.000000Z,3804870.6630845824,1856910.1586101833,4892431.350360029,-2011.1549004029948,-2914.2664259132,2189.756060139276,-5.691420113667846,-2.3553184820339084,-6.771782377269119
2025-01-01T00:00:54.000000Z,3802856.662475069,1853994.7145252945,4894617.720530688,-2016.8455672583077,-2916.620122241322,2182.9821590459906,-5.689917368697934,-2.35207522258861,-6.7760266431141645
2025-01-01T00:00:55.000000Z,3800836.971950066,1851076.9183657009,4896797.314678121,-2022.5347351403907,-2918.970576358377,2176.204006853048,-5.688422138686292,-2.348834032891318,-6.780284574953839
2025-01-01T00:00:56.000000Z,3798811.593004788,1848156.7733725775,4898970.128544394,-2028.2224115356803,-2921.3177903071046,2169.421589896083,-5.686934364726767,-2.3455948569462635,-6.784556164639071
2025-01-01T00:00:57.000000Z,3796780.5271269944,1845234.2827850864,4901136.1578579135,-2033.908603869844,-2923.6617660722695,2162.6348945237696,-5.685453983023763,-2.342357635439839,-6.788841397268698
2025-01-01T00:00:58.000000Z,3794743.7757970486,1842309.4498404332,4903295.3983334415,-2039.593319501728,-2926.0025055779843,2155.8439071015455,-5.683980923844501,-2.3391223060898483,-6.793140254449099
2025-01-01T00:00:59.000000Z,3792701.340487991,1839382.2777739305,4905447.845672117,-2045.2765657175332,-2928.340010684449,2149.0486140148714,-5.682515111635439,-2.335888802947011,-6.7974527115002275
2025-01-01T00:01:00.000000Z,3790653.2226656135,1836452.7698190643,4907593.495561471,-2050.9583497249987,-2930.6742831838783,2142.249001678545,-5.681056464440189,-2.332657056569587,-6.8017787351273
2025-01-01T00:01:01.000000Z,3788599.423788541,1833520.9292075627,4909732.343675474,-2056.6386786464136,-2933.0053247975884,2135.445056544617,-5.679604892269708,-2.329426992801018,-6.806118285283446
2025-01-01T00:01:02.000000Z,3786539.9453083207,1830586.7591694691,4911864.38567456,-2062.317559509538,-2935.3331371694803,2128.636765107978,-5.678160296636634,-2.3261985320714302,-6.810471314005554
2025-01-01T00:01:03.000000Z,3784474.788669522,1827650.2629332235,4913989.61720569,-2067.994999239687,-2937.6577218617313,2121.8241139166057,-5.676722570555285,-2.322971590154338,-6.814837762387469
2025-01-01T00:01:04.000000Z,3782403.955309842,1824711.4437257457,4916108.033902394,-2073.6710046506487,-2939.979080349789,2115.007089583203,-5.675291595747694,-2.319746076304,-6.819217559648678
2025-01-01T00:01:05.000000Z,3780327.4466602206,1821770.304772524,4918219.631384856,-2079.3455824311823,-2942.2972140143393,2108.1856787973084,-5.673867240664549,-2.3165218922658823,-6.823610623599961
2025-01-01T00:01:06.000000Z,3778245.264144979,1818826.849297717,4920324.405259988,-2085.018739131978,-2944.6121241343208,2101.3598683360033,-5.6724493618821725,-2.313298932625912,-6.828016857383773
2025-01-01T00:01:07.000000Z,3776157.4091819567,1815881.0805242555,4922422.351121528,-2090.6904811549466,-2946.923811879591,2094.529645082541,-5.671037800959311,-2.3100770831806585,-6.832436147378758
2025-01-01T00:01:08.000000Z,3774063.883182669,1812933.0016739576,4924513.464550153,-2096.3608147338964,-2949.232278300682,2087.6949960412458,-5.669632380013354,-2.306856218841858,-6.836868362268433
2025-01-01T00:01:09.000000Z,3771964.687552489,1809982.6159676544,4926597.741113611,-2102.0297459149733,-2951.537524317275,2080.855908358004,-5.668232903233729,-2.3036362039856613,-6.841313349315897
2025-01-01T00:01:10.000000Z,3769859.823690839,1807029.9266253232,4928675.176366869,-2107.697280540364,-2953.8395507086534,2074.012369342614,-5.666839153273031,-2.3004168908228166,-6.845770932966843
2025-01-01T00:01:11.000000Z,3767749.292991408,1804074.9368662369,4930745.765852296,-2113.3634242215194,-2956.1383580989204,2067.1643664920703,-5.66545088624116,-2.2971981163718738,-6.8502409108914435
2025-01-01T00:01:12.000000Z,3765633.096842396,1801117.6499091254,4932809.5050998535,-2119.028182312846,-2958.433946941397,2060.311887520831,-5.664067831472494,-2.2939797019935213,-6.8547230490949005
2025-01-01T00:01:13.000000Z,3763511.2366267825,1798158.068972354,4934866.389627337,-2124.6915598844644,-2960.7263175029075,2053.4549203938805,-5.662689686054364,-2.2907614510622807,-6.859217080986127
2025-01-01T00:01:14.000000Z,3761383.713722627,1795196.1972741196,4936916.414940641,-2130.353561684955,-2963.0154698435217,2046.5934533588588,-5.661316110170446,-2.287543145939708,-6.863722700392827
2025-01-01T00:01:15.000000Z,3759250.529503413,1792232.038032667,4938959.576534055,-2136.0141921048053,-2965.301403794787,2039.7274749930948,-5.659946723724715,-2.2843245458207093,-6.868239554576576
2025-01-01T00:01:16.000000Z,3757111.6853384175,1789265.59446653,4940995.869890627,-2141.6734551324043,-2967.584118935163,2032.8569742497057,-5.658581099240109,-2.281105383357499,-6.872767243301496
2025-01-01T00:01:17.000000Z,3754967.182593148,1786296.8697947967,4943025.290482555,-2147.3313543032855,-2969.863614561502,2025.981940506492,-5.657218756736256,-2.2778853615163825,-6.877305306727067
2025-01-01T00:01:18.000000Z,3752817.022629811,1783325.867237407,4945047.83377164,-2152.987892645877,-2972.139889658196,2019.1023636362515,-5.655859156162478,-2.2746641491539776,-6.881853216793388
2025-01-01T00:01:19.000000Z,3750661.206807856,1780352.5900154803,4947063.495209827,-2158.6430726156104,-2974.41294285981,2012.218234072905,-5.654501687735319,-2.271441376011353,-6.886410373961553
2025-01-01T00:01:20.000000Z,3748499.73648458,1777377.0413516874,4949072.270239786,-2164.2968960213475,-2976.6827724102186,2005.3295428883284,-5.653145663207397,-2.268216628115624,-6.890976090915501
2025-01-01T00:01:21.000000Z,3746332.6130158138,1774399.22447066,4951074.154295604,-2169.9493639420252,-2978.949376116041,1998.436281891074,-5.651790306787007,-2.264989441668149,-6.895549580687657
